facility_id,facility_name,region,woreda,zone,facility_type,phone,latitude,longitude,owner_type,facility_name_amharic_xlat,facility_name_expanded,facility_name_normalized,facility_name_phonetic,region_normalized,zone_normalized,woreda_normalized
DHIS2_000362,Nifa Silk Referral Hospital,SNNPR,Hosaena,Zone 5,Referral Hospital,09826406440,13.748720711114075,41.74899776719568,Public,Nifa Silk Referral Hospital,Nifa Silk Referral Hospital,nifa silk referral hospital,N124,snnpr,zone 5,hosaena
DHIS2_000074,Kirkos Health Post,Addis Ababa,Arada,Zone 3,Health Post,09616195200,5.968177220918372,39.7581620296514,Public,Kirkos Health Post,Kirkos Health Post,kirkos health post,K622,addis ababa,zone 3,arada
DHIS2_000375,Addis Ababa Clinic,Amhara,Mekelle,Zone 2,Clinic,09682789684,4.578219202996535,45.85694339784423,NGO,Addis Ababa Clinic,Addis Ababa Clinic,addis ababa clinic,A321,amhara,zone 2,mekelle
DHIS2_000156,Hawass Dispensary,Oromia,Adama,Zone 4,Dispensary,09310605409,6.948616384438452,46.97384232478485,NGO,Hawass Dispensary,Hawass Dispensary,hawass dispensary,H232,oromia,zone 4,adama
DHIS2_000105,Kirko Health Center,SNNPR,Hosaena,Zone 5,Health Center,09721606243,4.23499236892974,41.04722027226892,NGO,Kirko Health Center,Kirko Health Center,kirko health center,K624,snnpr,zone 5,hosaena
DHIS2_000395,Hawass Health Center,Amhara,Bahir Dar,Zone 3,Health Center,09435589001,5.299115348817909,46.773586300131555,NGO,Hawass Health Center,Hawass Health Center,hawass health center,H243,amhara,zone 3,bahir dar
DHIS2_000378,Hosaena Dispensary,Amhara,Bahir Dar,Zone 5,Dispensary,09323721794,6.493730973422148,36.10642377264857,Public,Hosaena Dispensary,Hosaena Dispensary,hosaena dispensary,H253,amhara,zone 5,bahir dar
DHIS2_000125,Bole Hospital,Oromia,Bishoftu,Zone 4,Hospital,09184380340,7.142305738575307,44.6075178480201,NGO,Bole Hospital,Bole Hospital,bole hospital,B421,oromia,zone 4,bishoftu
DHIS2_000069,Adama Health Center,Oromia,Adama,Zone 5,Health Center,09837345820,7.934480650466234,42.04172823034948,Private,Adama Health Center,Adama Health Center,adama health center,A354,oromia,zone 5,adama
DHIS2_000451,Dessie Health Center,Amhara,Gondar,Zone 2,Health Center,09786630655,8.948445002782693,46.99690851612463,Public,Dessie Health Center,Dessie Health Center,dessie health center,D243,amhara,zone 2,gondar
DHIS2_000010,Dessie Health Center,Addis Ababa,Arada,Zone 3,Health Center,09158170987,3.187636880894327,39.351022210595545,NGO,Dessie Health Center,Dessie Health Center,dessie health center,D243,addis ababa,zone 3,arada
DHIS2_000195,Bahir Dar Hospital,Oromia,Dire Dawa,Zone 4,Hospital,09897901550,12.381483958140352,43.580783911683056,NGO,Bahir Dar Hospital,Bahir Dar Hospital,bahir dar hospital,B636,oromia,zone 4,dire dawa
DHIS2_000407,Duke HC,Oromia,Dukem,Zone 2,HC,09324749151,12.367580609106685,41.75659170771168,Private,Duke HC,Duke Health Center,duke health center,D243,oromia,zone 2,dukem
DHIS2_000085,Addis Ababa Clinic,SNNPR,Arba Minch,Zone 2,Clinic,09732937902,11.9791162846039,35.76781529034566,NGO,Addis Ababa Clinic,Addis Ababa Clinic,addis ababa clinic,A321,snnpr,zone 2,arba minch
DHIS2_000372,Addis Ababa Referral Hospitalital,Addis Ababa,Bole,Zone 5,Referral Hospital,09712338377,12.384184019195608,41.15708591799356,Public,Addis Ababa Referral Hospitalital,Addis Ababa Referral Hospitalital,addis ababa referral hospitalital,A321,addis ababa,zone 5,bole
DHIS2_000389,Butajira Clinic,SNNPR,Butajira,Zone 3,Clinic,09677066688,12.277068500369595,37.64999905757684,NGO,Butajira Clinic,Butajira Clinic,butajira clinic,B326,snnpr,zone 3,butajira
