mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b,match_type
MFR_000001,dessie clinic,Oromia,DHIS2_000001,dessie clinic,Oromia,0.9491562843322754,dessie clinic woreda:Bishoftu region:Oromia zone:Zone 3,dessie clinic woreda:Bishoftu region:Oromia zone:Zone 3,confirmed
MFR_000002,bole clinic,Amhara,DHIS2_000002,bole clinic,Amhara,0.9475122094154358,bole clinic woreda:Bahir Dar region:Amhara zone:Zone 4,bole clinic woreda:Bahir Dar region:Amhara zone:Zone 4,confirmed
MFR_000003,bahir dar hospital,SNNPR,DHIS2_000279,bahir dar general hospitalital,SNNPR,0.794314444065094,bahir dar hospital woreda:Hosaena region:SNNPR zone:Zone 3,bahir dar general hospitalital woreda:Hosaena region:SNNPR zone:Zone 2,confirmed
MFR_000003,bahir dar hospital,SNNPR,DHIS2_000465,bahir dar health center,SNNPR,0.7870655059814453,bahir dar hospital woreda:Hosaena region:SNNPR zone:Zone 3,bahir dar health center woreda:Hosaena region:SNNPR zone:Zone 2,confirmed
MFR_000004,bahir dar health post,Oromia,DHIS2_000183,bahir dar health center,Oromia,0.7483982443809509,bahir dar health post woreda:Dukem region:Oromia zone:Zone 5,bahir dar health center woreda:Adama region:Oromia zone:Zone 5,confirmed
MFR_000004,bahir dar health post,Oromia,DHIS2_000270,bahir dar health post,Oromia,0.8113199472427368,bahir dar health post woreda:Dukem region:Oromia zone:Zone 5,bahir dar health post woreda:Bishoftu region:Oromia zone:Zone 5,confirmed
MFR_000005,adama general hospital,Oromia,DHIS2_000017,adama general hospitalital,Oromia,0.782360851764679,adama general hospital woreda:Dire Dawa region:Oromia zone:Zone 1,adama general hospitalital woreda:Bishoftu region:Oromia zone:Zone 1,confirmed
MFR_000005,adama general hospital,Oromia,DHIS2_000005,adam general hospital,Oromia,0.9485512375831604,adama general hospital woreda:Dire Dawa region:Oromia zone:Zone 1,adam general hospital woreda:Dire Dawa region:Oromia zone:Zone 1,confirmed
MFR_000006,bole general hospital,Addis Ababa,DHIS2_000006,bole general hospital,Addis Ababa,0.9886166453361511,bole general hospital woreda:Kirkos region:Addis Ababa zone:Zone 1,bole general hospital woreda:Kirkos region:Addis Ababa zone:Zone 1,confirmed
MFR_000006,bole general hospital,Addis Ababa,DHIS2_000097,bole health center,Addis Ababa,0.8127939105033875,bole general hospital woreda:Kirkos region:Addis Ababa zone:Zone 1,bole health center woreda:Kirkos region:Addis Ababa zone:Zone 3,confirmed
MFR_000007,hawassa referral hospital,Amhara,DHIS2_000007,hawass referral hospital,Amhara,0.914792537689209,hawassa referral hospital woreda:Mekelle region:Amhara zone:Zone 2,hawass referral hospital woreda:Mekelle region:Amhara zone:Zone 2,confirmed
MFR_000008,dukem health post,Amhara,DHIS2_000008,dukem health post,Amhara,0.9441604018211365,dukem health post woreda:Dessie region:Amhara zone:Zone 4,dukem health post woreda:Dessie region:Amhara zone:Zone 4,confirmed
MFR_000008,dukem health post,Amhara,DHIS2_000128,dukem health center,Amhara,0.9149515628814697,dukem health post woreda:Dessie region:Amhara zone:Zone 4,dukem health center woreda:Dessie region:Amhara zone:Zone 4,confirmed
MFR_000009,kirkos health center,SNNPR,DHIS2_000047,kirkos general hospitalital,SNNPR,0.7749665379524231,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4,kirkos general hospitalital woreda:Arba Minch region:SNNPR zone:Zone 2,confirmed
MFR_000009,kirkos health center,SNNPR,DHIS2_000230,kirkos health center,SNNPR,0.7478888034820557,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4,kirkos health center woreda:Hawassa region:SNNPR zone:Zone 4,confirmed
MFR_000009,kirkos health center,SNNPR,DHIS2_000009,kirkos health center,SNNPR,0.9616343379020691,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4,confirmed
