facility_id,facility_name,region,woreda,zone,facility_type,phone,latitude,longitude,owner_type,facility_name_amharic_xlat,facility_name_expanded,facility_name_normalized,facility_name_phonetic,region_normalized,zone_normalized,woreda_normalized
MFR_000001,Dessie Clinic,Oromia,Bishoftu,Zone 3,Clinic,09336735830,10.18390181036444,35.34027960663655,NGO,Dessie Clinic,Dessie Clinic,dessie clinic,D224,oromia,zone 3,bishoftu
MFR_000002,Bole Clinic,Amhara,Bahir Dar,Zone 4,Clinic,09223953367,11.496870933552547,33.308767414437035,Private,Bole Clinic,Bole Clinic,bole clinic,B424,amhara,zone 4,bahir dar
MFR_000003,Bahir Dar Hospital,SNNPR,Hosaena,Zone 3,Hospital,09552860080,10.409778115532598,42.17479740732421,NGO,Bahir Dar Hospital,Bahir Dar Hospital,bahir dar hospital,B636,snnpr,zone 3,hosaena
MFR_000004,Bahir Dar Health Post,Oromia,Dukem,Zone 5,Health Post,09175285250,7.589543895205953,47.74846328710182,NGO,Bahir Dar Health Post,Bahir Dar Health Post,bahir dar health post,B636,oromia,zone 5,dukem
MFR_000005,Adama General Hospital,Oromia,Dire Dawa,Zone 1,General Hospital,09654738553,3.1591795339183983,47.13302633527279,Private,Adama General Hospital,Adama General Hospital,adama general hospital,A352,oromia,zone 1,dire dawa
MFR_000006,Bole General Hospital,Addis Ababa,Kirkos,Zone 1,General Hospital,09323187277,10.31995989339145,45.49792367604247,Private,Bole General Hospital,Bole General Hospital,bole general hospital,B425,addis ababa,zone 1,kirkos
MFR_000007,Hawassa Referral Hospital,Amhara,Mekelle,Zone 2,Referral Hospital,09513584702,5.495299954418266,41.51550491729987,Private,Hawassa Referral Hospital,Hawassa Referral Hospital,hawassa referral hospital,H261,amhara,zone 2,mekelle
MFR_000008,Dukem HP,Amhara,Dessie,Zone 4,HP,09844119117,10.174799745733022,46.82811352534675,Public,Dukem HP,Dukem Health Post,dukem health post,D254,amhara,zone 4,dessie
MFR_000009,Kirkos HC,SNNPR,Arba Minch,Zone 4,HC,09167055419,9.476305588668957,41.80126748495773,Public,Kirkos HC,Kirkos Health Center,kirkos health center,K622,snnpr,zone 4,arba minch
MFR_000010,Dessie Health Center,Addis Ababa,Arada,Zone 3,Health Center,09158170987,3.187636880894327,39.351022210595545,NGO,Dessie Health Center,Dessie Health Center,dessie health center,D243,addis ababa,zone 3,arada
MFR_000011,Dire Dawa Health Center,Addis Ababa,Nifas Silk,Zone 1,Health Center,09247407771,10.271519697372137,46.89451317770023,Private,Dire Dawa Health Center,Dire Dawa Health Center,dire dawa health center,D634,addis ababa,zone 1,nifas silk
MFR_000012,Butajira Hospital,Addis Ababa,Lideta,Zone 3,Hospital,09324881728,11.75527414005677,42.563362070328196,Public,Butajira Hospital,Butajira Hospital,butajira hospital,B326,addis ababa,zone 3,lideta
MFR_000013,Addis Ababa Hospital,Oromia,Modjo,Zone 1,Hospital,09749443226,9.735326370833954,44.56450769931841,NGO,Addis Ababa Hospital,Addis Ababa Hospital,addis ababa hospital,A321,oromia,zone 1,modjo
MFR_000014,Dukem Health Post,Oromia,Dukem,Zone 4,Health Post,09413331068,3.377150228240811,42.546156168956706,Private,Dukem Health Post,Dukem Health Post,dukem health post,D254,oromia,zone 4,dukem
MFR_000015,Modjo HP,Addis Ababa,Arada,Zone 4,HP,09331351509,14.314242846695773,41.98298199732804,Private,Modjo HP,Modjo Health Post,modjo health post,M324,addis ababa,zone 4,arada
MFR_000016,Gondar Dispensary,SNNPR,Hawassa,Zone 3,Dispensary,09454066131,4.265931117963247,39.848018557243655,Private,Gondar Dispensary,Gondar Dispensary,gondar dispensary,G536,snnpr,zone 3,hawassa
MFR_000017,Adama General Hospital,Oromia,Bishoftu,Zone 1,General Hospital,09399583549,13.881941298549048,37.08198374076953,Public,Adama General Hospital,Adama General Hospital,adama general hospital,A352,oromia,zone 1,bishoftu
MFR_000018,Hosaena Referral Hospital,Addis Ababa,Nifas Silk,Zone 3,Referral Hospital,09531200096,9.128967630930788,39.261165047231685,Private,Hosaena Referral Hospital,Hosaena Referral Hospital,hosaena referral hospital,H256,addis ababa,zone 3,nifas silk
