mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,match_source
1000750,Federal Ministry Of Health,,b3aCK1PTn5S,Federal Ministry Of Health,,1.0,existing_dhis2_id
1000861,Mekonen Primary Clinic,Harari Region,qCSmCv5OoRu,Mekonnen eye Clinic,Harari Regional Health Bureau,1.0,existing_dhis2_id
1000886,Legehare  Health Center,Dire Dawa City Administration,CoaC3OL8El0,Legehare Health Center,Dire Dawa Regional Health Bureau,1.0,existing_dhis2_id
1000896,Abi Adi general Hospital,Tigray Region,AO7OvAsjUKx,Abiadi Hospital,Tigray Regional Health Bureau,1.0,existing_dhis2_id
1000908,Harar Police Primary Hospital,Harari Region,oCrBD2wWQ5X,Harar Federal Police Hospital,Harari Regional Health Bureau,1.0,existing_dhis2_id
1000909,Harar General Hospital,Harari Region,bTnb7n7V0cS,Harar General Hospital,Harari Regional Health Bureau,1.0,existing_dhis2_id
1000911,Jugel General Hospital,Harari Region,HSBYk4v8ITI,Jugel General Hospital,Harari Regional Health Bureau,1.0,existing_dhis2_id
1000922,Mayani Sheraro General Hospital,Tigray Region,SHczf47dkPB,Sheraro Maiani Hospital,Tigray Regional Health Bureau,1.0,existing_dhis2_id
1000929,Yimaj General Hospital,Harari Region,kv7tlFHyi9a,Yemaj General Hospital,Harari Regional Health Bureau,1.0,existing_dhis2_id
1000932,ALERT General Hospital,Addis Ababa City Administration,NEopQPE8Low,Alert Specialized Hospital,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1000934,Ayder Comprehensive Specialized Hospital,Tigray Region,AHdAtctd5ph,Ayder Specialized Referral Hospital,Tigray Regional Health Bureau,1.0,existing_dhis2_id
1000939,Haramaya University Hiwot Fana  Comprehensive Specialized Hospital,Harari Region,TYR3aVSKY1Y,Hiwot Fana Specialized University Hospital,Harari Regional Health Bureau,1.0,existing_dhis2_id
1000942,St. Peter General Hospital,Addis Ababa City Administration,k0NDQTXTSkD,St. Peter Tb Specialized Hospital,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1000943,Tikur Anbessa Comprehensive Specialized Hospital ,Addis Ababa City Administration,fqlmSS5roQA,Tikur Anbessa Specialized Hospital,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1000951,Sabian General  Hospital,Dire Dawa City Administration,KBfiDXWjETn,Sabiyan General Hospital,Dire Dawa Regional Health Bureau,1.0,existing_dhis2_id
1000957,Sagni Medium Clinic,Oromia Region,R3HrvU3WyPF,Sagni Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1000959,Saja General Hospital,Central Ethiopia Region,p8zAxh2C4pr,Saja Primary Hospital,SNNP Regional Health Bureau,1.0,existing_dhis2_id
1000961,Salam Internal Medicine Specialty Center,Harari Region,GFaOCnWke5U,Salam Internal Medicine  Specialty Clinic,Harari Regional Health Bureau,1.0,existing_dhis2_id
1000962,Salam Medium Clinic,Oromia Region,Q3SUkL3NQ4z,Salam Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1000966,Salihom primary Clinic,South Ethiopia Region,ZSgQIMnQ2sK,Salihom Clinic,SNNP Regional Health Bureau,1.0,existing_dhis2_id
1000967,Selihom Medium Clinic,Oromia Region,lqNSq0UlFeT,Salihom Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1000983,Saron Medium Clinic,Oromia Region,rfAnGOcfjOD,Saron Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1000991,Sayan Dental Speciality Clinic,Addis Ababa City Administration,M5GP0k0uLqi,Sayan Medium Dental clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1000995,Somonama health center,Central Ethiopia Region,qfjGYZ9deWQ,Seamunama Health Center,SNNP Regional Health Bureau,1.0,existing_dhis2_id
1000998,Sabata Health Center,Oromia Region,zSdi5mHa3WC,Sabata Health Center,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001000,Seble Medium Clinic,Oromia Region,UhOit4rsqXX,Seble Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001003,Seden Medium Clinic,Oromia Region,f5Iafn3onIZ,Seden Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001011,Seifu Medium Clinic,Oromia Region,dRrXkxTOufV,Seifu Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001012,Seka Chekorsa Primary Hospital,Oromia Region,f75JGWOoKdM,Seka Chekorsa Primary Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001025,Selam Speciality Clinic,Addis Ababa City Administration,tLe6p8DU1kW,Selam Internal Medicine Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001026,Selam Medium Clinic,Oromia Region,IgQNCSTFlbQ,Selam Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001027,Selam Medium Clinic ,Oromia Region,WjanXNvM6PD,Selam Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001031,Selam Mulu Medium Clinic,Addis Ababa City Administration,PjMuGq1gKRK,Selam Mulu Medium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001039,Jimma University Comprhenssive Specialized Hospital,Oromia Region,bwSleo5PAaV,Jimma University Specialized,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001048,Seimen Health Center,Addis Ababa City Administration,TwtOqZAC0pJ,Semen Health Center,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001085,Yabsira Medium Clinic ,Oromia Region,q2uomiE1Sq5,Shawul Nigatu Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001092,Shebel Medium Dental Clinic,Addis Ababa City Administration,gwsksXkLMt7,Shebel Medium Dental Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001093,Shebele Surgery Specialty Clinic,Addis Ababa City Administration,YGyIAQzjmth,Shebele Surgory Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001102,Shenen Gibe General Hospital,Oromia Region,Cmt8kb6nfPT,Shenan Gibe General Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001119,Shitaye Medium clinic,Oromia Region,LCbn9sMtuFQ,Shitaye Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001120,Shewa Medium Clinic,Oromia Region,zh3zJPzEA4A,Shoa Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001135,Simele Medium Clinic,Oromia Region,iNracOdO11g,Simale Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001140,Sinbo Medium Clinic,Oromia Region,iYMOhLiqjFc,Sinbo Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001148,Siwaya Medium Clinic,Oromia Region,MDchKoFAkVc,Siwaya Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001152,Wolaita Sodo University Comprehensive Specialized Hospital ,South Ethiopia Region,dMScEUHgz1J,Sodo Referral Hospital,SNNP Regional Health Bureau,1.0,existing_dhis2_id
1001158,Sofi Health Center,Harari Region,ac6w1PAqwTZ,Sofi Health Center,Harari Regional Health Bureau,1.0,existing_dhis2_id
1001200,Suisse Medium Clinic,Addis Ababa City Administration,HxNDusouBYJ,Suisse Medium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001201,Suisse Pediatric Speciality Clinic ,Addis Ababa City Administration,n9Wvz0XAJdy,Suisse Pediatric Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001202,Sultan Primary Clinic,Central Ethiopia Region,csuJ7WwCuLq,Sultan Clinic,SNNP Regional Health Bureau,1.0,existing_dhis2_id
1001203,Sululuta Health Center,Oromia Region,HKql4mhgki5,Sululta Health Center,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001208,Sun Optics Ophthalmology Specialty Clinic ,Addis Ababa City Administration,wGYPHYZGdRJ,Sun Optical opthalmic speciality clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001212,Sunshayin Speciality Clinic,Addis Ababa City Administration,X9RoKW0tMyu,Sunshayin Internal Medicine Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001213,Sunshine Construction Primary Clinic,Addis Ababa City Administration,BKEmrIBk7A7,Sunshine Construction Primary Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001218,Tabor Maternity And Child Health Specialty Center,Sidama Region,NOReBDdmr9o,Tabor MCH Center,Sidama Regional Health Bureau,1.0,existing_dhis2_id
1001224,Tad Medium Clinic,Addis Ababa City Administration,Zf818n0wmXC,Tad Medium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001225,Taddasa Medium Clinic,Oromia Region,fQIwjPjmLrJ,Taddasa Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001235,Tamra Medium Clinic,Oromia Region,fS8mbeeUGiz,Tamra Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001241,Tas Primary Clinic,Oromia Region,BkrdMhtVsML,Tas Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001242,Tatek Medium Clinic,Oromia Region,GZZ7xs4I3gV,Tatek Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001261,Tekewa Primary Clinic,Oromia Region,ZoIlZ4pZDGK,Tekwa Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001265,Taltele Primary Hospital,Oromia Region,YUg9rrHMmr2,Teltele Primary Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001279,Tarcha General Hospital,South West Ethiopia Region,RINegMFYMOs,Tercha General Hospital,SWE Regional Health Bureau,1.0,existing_dhis2_id
1001286,Tesfa Primary Clinic,Oromia Region,WC3bXkM3dU7,Tesfa Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001290,Teshoma Primary Clinic,Oromia Region,kmpGwgGHEqV,Teshoma Primary Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001296,Tigisit Medium Clinic,Oromia Region,apgXl94tvBz,Tigisit Medium Clinic,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001299,Tikakinina Anestegna Primary Clinic,Addis Ababa City Administration,GhI3vLWt3Re,Tikakinina Anestegna Small Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001302,Wako Tikur Wuha Medium Clinic,Sidama Region,tdro7JQ5AuJ,Tikur Weha Wako Clinic,Sidama Regional Health Bureau,1.0,existing_dhis2_id
