facility_id,region,zone,phcu,facility_name,facility_type,owner_type,level,region_canonical,region_raw,facility_name_amharic_xlat,facility_name_expanded,facility_name_normalized,facility_name_phonetic,region_normalized,zone_normalized
Myv6w7QtilK,addis ababa,Addis Ketema Sub City,,A/A Termusena BerchekoMedium Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,A/A Termusena BerchekoMedium Clinic,A/A Termusena BerchekoMedium Clinic,a a termusena berchekomedium clinic,A365,addis ababa,addis ketema sub city
DnApo3gf3Vf,addis ababa,Addis Ketema Sub City,,Abisiniya Health center,Health Centers,Public,4,addis ababa,Addis Ababa Regional Health Bureau,Abisiniya Health center,Abisiniya Health center,abisiniya health center,A125,addis ababa,addis ketema sub city
N3uiodsPWw1,addis ababa,Addis Ketema Sub City,,Abuderda Medium Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Abuderda Medium Clinic,Abuderda Medium Clinic,abuderda medium clinic,A136,addis ababa,addis ketema sub city
r8JbGJsWWLp,addis ababa,Addis Ketema Sub City,,Addisketema woreda 1 DIC,Clinics,,4,addis ababa,Addis Ababa Regional Health Bureau,Addisketema woreda 1 DIC,Addisketema woreda 1 DIC,addisketema woreda 1 dic,A323,addis ababa,addis ketema sub city
PObFChfmikr,addis ababa,Addis Ketema Sub City,,Addisketema woreda 9 DIC,Clinics,,4,addis ababa,Addis Ababa Regional Health Bureau,Addisketema woreda 9 DIC,Addisketema woreda 9 DIC,addisketema woreda 9 dic,A323,addis ababa,addis ketema sub city
zFtojLMTPjz,addis ababa,Addis Ketema Sub City,,Africa Internal medicine Specialty Clinic No 5,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Africa Internal medicine Specialty Clinic No 5,Africa Internal medicine Specialty Clinic No 5,africa internal medicine specialty clinic no 5,A162,addis ababa,addis ketema sub city
B06qdWfyRqB,addis ababa,Addis Ketema Sub City,,Africa Medium Clinic No1,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Africa Medium Clinic No1,Africa Medium Clinic No1,africa medium clinic no1,A162,addis ababa,addis ketema sub city
LRfUQXqY8ry,addis ababa,Addis Ketema Sub City,,Ahope Ethiopia clinic,Clinics,,4,addis ababa,Addis Ababa Regional Health Bureau,Ahope Ethiopia clinic,Ahope Ethiopia Clinic,ahope ethiopia clinic,A131,addis ababa,addis ketema sub city
chpv5RfA4gC,addis ababa,Addis Ketema Sub City,,AIDS Healthcare Foundation Medium clinic,Clinics,NGO,4,addis ababa,Addis Ababa Regional Health Bureau,AIDS Healthcare Foundation Medium clinic,AIDS Healthcare Foundation Medium Clinic,aids healthcare foundation medium clinic,A324,addis ababa,addis ketema sub city
Z7ZqMS71HX5,addis ababa,Addis Ketema Sub City,,Ale-Huhuwa Medium Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Ale-Huhuwa Medium Clinic,Ale-Huhuwa Medium Clinic,ale huhuwa medium clinic,A453,addis ababa,addis ketema sub city
fMvxt0RAxfM,addis ababa,Addis Ketema Sub City,,Alroe Medium Dental clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Alroe Medium Dental clinic,Alroe Medium Dental Clinic,alroe medium dental clinic,A465,addis ababa,addis ketema sub city
AINQL1vW2GX,addis ababa,Addis Ketema Sub City,,Amede Interanal MedicineSpecialty Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Amede Interanal MedicineSpecialty Clinic,Amede Interanal MedicineSpecialty Clinic,amede interanal medicinespecialty clinic,A535,addis ababa,addis ketema sub city
BkSRmvEPIMr,addis ababa,Addis Ketema Sub City,,Ami dent medium Dental Clinic,Clinics,,4,addis ababa,Addis Ababa Regional Health Bureau,Ami dent medium Dental Clinic,Ami dent medium Dental Clinic,ami dent medium dental clinic,A535,addis ababa,addis ketema sub city
xOL5xEYhBsX,addis ababa,Addis Ketema Sub City,,Anduamlak Medium clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Anduamlak Medium clinic,Anduamlak Medium Clinic,anduamlak medium clinic,A535,addis ababa,addis ketema sub city
MLBcMQqKiUS,addis ababa,Addis Ketema Sub City,,Asrate Primary Clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Asrate Primary Clinic,Asrate Primary Clinic,asrate primary clinic,A263,addis ababa,addis ketema sub city
D8I2Z3nrwpa,addis ababa,Addis Ketema Sub City,,Atilas Medium clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Atilas Medium clinic,Atilas Medium Clinic,atilas medium clinic,A342,addis ababa,addis ketema sub city
brtX74Ed0W7,addis ababa,Addis Ketema Sub City,,Beyan Dermatology Speciality Clinic,Clinics,,4,addis ababa,Addis Ababa Regional Health Bureau,Beyan Dermatology Speciality Clinic,Beyan Dermatology Speciality Clinic,beyan dermatology speciality clinic,B536,addis ababa,addis ketema sub city
Fgx0tnm63A0,addis ababa,Addis Ketema Sub City,,Beyane Medium Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Beyane Medium Clinic,Beyane Medium Clinic,beyane medium clinic,B553,addis ababa,addis ketema sub city
kEIcgb2MXGx,addis ababa,Addis Ketema Sub City,,Bilal Medium clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Bilal Medium clinic,Bilal Medium Clinic,bilal medium clinic,B445,addis ababa,addis ketema sub city
rj0BXFFzSV6,addis ababa,Addis Ketema Sub City,,Dr. Mulugeta Medium Dental Clinic,Clinics,,4,addis ababa,Addis Ababa Regional Health Bureau,Dr. Mulugeta Medium Dental Clinic,Dr. Mulugeta Medium Dental Clinic,dr mulugeta medium dental clinic,D654,addis ababa,addis ketema sub city
MHcrucNhwrm,addis ababa,Addis Ketema Sub City,,Dr.Wubishet Medium Dental clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Dr.Wubishet Medium Dental clinic,Dr.Wubishet Medium Dental Clinic,dr wubishet medium dental clinic,D612,addis ababa,addis ketema sub city
rM3jXGT0vYf,addis ababa,Addis Ketema Sub City,,Ethi Tebib General Hospital,Hospitals,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Ethi Tebib General Hospital,Ethi Tebib General Hospital,ethi tebib general hospital,E331,addis ababa,addis ketema sub city
xDVOMi2wfgm,addis ababa,Addis Ketema Sub City,,Fekadu lower Clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Fekadu lower Clinic,Fekadu lower Clinic,fekadu lower clinic,F234,addis ababa,addis ketema sub city
dJVQJEFZTYR,addis ababa,Addis Ketema Sub City,,FGAE,Clinics,NGO,4,addis ababa,Addis Ababa Regional Health Bureau,FGAE,FGAE,fgae,F200,addis ababa,addis ketema sub city
rUzROETL42M,addis ababa,Addis Ketema Sub City,,Fikadu Medium Dental clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Fikadu Medium Dental clinic,Fikadu Medium Dental Clinic,fikadu medium dental clinic,F235,addis ababa,addis ketema sub city
Q9pMIDQ3r07,addis ababa,Addis Ketema Sub City,,Finfine Medium Clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Finfine Medium Clinic,Finfine Medium Clinic,finfine medium clinic,F515,addis ababa,addis ketema sub city
XinBXBZBBeP,addis ababa,Addis Ketema Sub City,,Hibret Medium Dental clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Hibret Medium Dental clinic,Hibret Medium Dental Clinic,hibret medium dental clinic,H163,addis ababa,addis ketema sub city
ndYUj0SYQcf,addis ababa,Addis Ketema Sub City,,Hulegeb Shemachoch 18 Health center,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Hulegeb Shemachoch 18 Health center,Hulegeb Shemachoch 18 Health center,hulegeb shemachoch 18 health center,H421,addis ababa,addis ketema sub city
BFqgF5RsZ13,addis ababa,Addis Ketema Sub City,,ISHDO,Clinics,NGO,4,addis ababa,Addis Ababa Regional Health Bureau,ISHDO,ISHDO,ishdo,I230,addis ababa,addis ketema sub city
bqHB57qcolY,addis ababa,Addis Ketema Sub City,,Kale Medium cilnic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Kale Medium cilnic,Kale Medium cilnic,kale medium cilnic,K453,addis ababa,addis ketema sub city
wnKYq6k1uKD,addis ababa,Addis Ketema Sub City,,Kidanmihert Higher Clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Kidanmihert Higher Clinic,Kidanmihert Higher Clinic,kidanmihert higher clinic,K356,addis ababa,addis ketema sub city
aRbikchcy6K,addis ababa,Addis Ketema Sub City,,Kidus Primary clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Kidus Primary clinic,Kidus Primary Clinic,kidus primary clinic,K321,addis ababa,addis ketema sub city
omq3W4HWcsV,addis ababa,Addis Ketema Sub City,,Kidus Raguel Primary clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Kidus Raguel Primary clinic,Kidus Raguel Primary Clinic,kidus raguel primary clinic,K326,addis ababa,addis ketema sub city
BbmnucGS5bn,addis ababa,Addis Ketema Sub City,,kolfe Medium Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,kolfe Medium Clinic,kolfe Medium Clinic,kolfe medium clinic,K415,addis ababa,addis ketema sub city
sVVTgiYf3Xf,addis ababa,Addis Ketema Sub City,,LA Physiotheraphy Specialty Clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,LA Physiotheraphy Specialty Clinic,LA Physiotheraphy Specialty Clinic,la physiotheraphy specialty clinic,L123,addis ababa,addis ketema sub city
Yl98fijR9JL,addis ababa,Addis Ketema Sub City,,LIP Addis Ketema Madot,,,4,addis ababa,Addis Ababa Regional Health Bureau,LIP Addis Ketema Madot,LIP Addis Ketema Madot,lip addis ketema madot,L132,addis ababa,addis ketema sub city
psFvnYAhuBP,addis ababa,Addis Ketema Sub City,,Mamo Primary Clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Mamo Primary Clinic,Mamo Primary Clinic,mamo primary clinic,M516,addis ababa,addis ketema sub city
Kzxau3iSR8s,addis ababa,Addis Ketema Sub City,,MARIE STOPES No1 Medium clinic,,NGO,4,addis ababa,Addis Ababa Regional Health Bureau,MARIE STOPES No1 Medium clinic,MARIE STOPES No1 Medium Clinic,marie stopes no1 medium clinic,M623,addis ababa,addis ketema sub city
efyZP86tmfX,addis ababa,Addis Ketema Sub City,,Marry Joy Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Marry Joy Clinic,Marry Joy Clinic,marry joy clinic,M622,addis ababa,addis ketema sub city
OmERqS4PL3q,addis ababa,Addis Ketema Sub City,,Melese Hailu Medium clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Melese Hailu Medium clinic,Melese Hailu Medium Clinic,melese hailu medium clinic,M424,addis ababa,addis ketema sub city
F9dMKUuoEZc,addis ababa,Addis Ketema Sub City,,Melse Hailu primary Clinic No 2,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Melse Hailu primary Clinic No 2,Melse Hailu primary Clinic No 2,melse hailu primary clinic no 2,M424,addis ababa,addis ketema sub city
vguZBOtHrNQ,addis ababa,Addis Ketema Sub City,,Mesalemiya Medium clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Mesalemiya Medium clinic,Mesalemiya Medium Clinic,mesalemiya medium clinic,M245,addis ababa,addis ketema sub city
MMdTAonZCG5,addis ababa,Addis Ketema Sub City,,mestazewudamedium dental clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,mestazewudamedium dental clinic,mestazewudamedium dental Clinic,mestazewudamedium dental clinic,M232,addis ababa,addis ketema sub city
EvSWrsMXpPJ,addis ababa,Addis Ketema Sub City,,MikililandHealth Center,Health Centers,Public,4,addis ababa,Addis Ababa Regional Health Bureau,MikililandHealth Center,MikililandHealth Center,mikililandhealth center,M244,addis ababa,addis ketema sub city
hIzyxF8NXxV,addis ababa,Addis Ketema Sub City,,Mulatu Primary clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Mulatu Primary clinic,Mulatu Primary Clinic,mulatu primary clinic,M431,addis ababa,addis ketema sub city
tdeAQXIbzIH,addis ababa,Addis Ketema Sub City,,Munir Medium Dental clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Munir Medium Dental clinic,Munir Medium Dental Clinic,munir medium dental clinic,M565,addis ababa,addis ketema sub city
jEhowRnVyak,addis ababa,Addis Ketema Sub City,,Nejashi Medium Dental clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Nejashi Medium Dental clinic,Nejashi Medium Dental Clinic,nejashi medium dental clinic,N225,addis ababa,addis ketema sub city
TNPmcqyKnA7,addis ababa,Addis Ketema Sub City,,Peace Medium Dental clinic,,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Peace Medium Dental clinic,Peace Medium Dental Clinic,peace medium dental clinic,P253,addis ababa,addis ketema sub city
BKh5fKUiDmO,addis ababa,Addis Ketema Sub City,,Police Memriya Medium clinic,,Other Government Agency,4,addis ababa,Addis Ababa Regional Health Bureau,Police Memriya Medium clinic,Police Memriya Medium Clinic,police memriya medium clinic,P425,addis ababa,addis ketema sub city
U2umL8a7EiK,addis ababa,Addis Ketema Sub City,,Real Medium Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Real Medium Clinic,Real Medium Clinic,real medium clinic,R453,addis ababa,addis ketema sub city
KxylvXGmGxB,addis ababa,Addis Ketema Sub City,,Ring Road Medium Clinic,Clinics,Private,4,addis ababa,Addis Ababa Regional Health Bureau,Ring Road Medium Clinic,Ring Road Medium Clinic,ring road medium clinic,R526,addis ababa,addis ketema sub city
