mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b,match_type
1001150,smart dental medium clinic,addis ababa,Zi1NhNqxR87,smart dental medium clinic,addis ababa,0.8411209583282471,smart dental medium clinic woreda:Woreda 3 region:addis ababa zone:Kirkos Sub City,smart dental medium clinic region:addis ababa zone:Kirkos Sub City,confirmed
1001329,tesfa drug shop,tigray,ys0qPL0CHqu,tesfa teradio medium clinic,tigray,0.92999267578125,tesfa drug shop region:tigray zone:Western Zone,tesfa teradio medium clinic region:tigray zone:North Western ZHD,confirmed
1001391,woliso health center no 2,oromia,ncisaE3SMbd,waliso 03 health center,oromia,0.8071585297584534,woliso health center no 2 woreda:Woliso Town region:oromia zone:Woliso Town,waliso 03 health center region:oromia zone:Woliso Town ZHD,confirmed
1001409,mekonen drug shop,tigray,XybC4KT3dEG,mekonen clinic,tigray,0.8902027606964111,mekonen drug shop region:tigray zone:Western Zone,mekonen clinic region:tigray zone:Eastern ZHD,confirmed
1001409,mekonen drug shop,tigray,ErO1G54zW0G,mekwanint clinic,tigray,0.8303388953208923,mekonen drug shop region:tigray zone:Western Zone,mekwanint clinic region:tigray zone:Western ZHD,confirmed
1002110,betezata basic labiratory,addis ababa,sP7JHTHa8PS,betezata labiratory,addis ababa,0.8277950286865234,betezata basic labiratory woreda:Woreda 9 region:addis ababa zone:Lideta Sub City,betezata labiratory region:addis ababa zone:Lideta Sub City,confirmed
1002111,betezatha advanced diagnostic laboratory,addis ababa,xIgG4AGLWQs,betezatha advanced laboratory,addis ababa,0.847850501537323,betezatha advanced diagnostic laboratory woreda:Woreda 8 region:addis ababa zone:Kirkos Sub City,betezatha advanced laboratory region:addis ababa zone:Kirkos Sub City,confirmed
1002142,bilal medium clinic,addis ababa,kEIcgb2MXGx,bilal medium clinic,addis ababa,0.9863654375076294,bilal medium clinic region:addis ababa zone:Addis Ketema Sub City,bilal medium clinic region:addis ababa zone:Addis Ketema Sub City,confirmed
1002142,bilal medium clinic,addis ababa,kwyNoRtGkUL,bilal medium dental clinic,addis ababa,0.9526459574699402,bilal medium clinic region:addis ababa zone:Addis Ketema Sub City,bilal medium dental clinic region:addis ababa zone:Nifas Silk Lafto Sub City,confirmed
1002708,ethio internal medicine specialty clinic,addis ababa,BuzIMQotn6t,ethio internal medicine speciality clinic,addis ababa,0.8589975237846375,ethio internal medicine specialty clinic woreda:Woreda 8 region:addis ababa zone:Kirkos Sub City,ethio internal medicine speciality clinic region:addis ababa zone:Kirkos Sub City,confirmed
1003741,munir no 1 medium dental clinic,addis ababa,tdeAQXIbzIH,munir medium dental clinic,addis ababa,0.8554520606994629,munir no 1 medium dental clinic woreda:Woreda 9 region:addis ababa zone:Addis Ketema Sub City,munir medium dental clinic region:addis ababa zone:Addis Ketema Sub City,confirmed
1004182,merzu primary hospital,tigray,PEEJioHFRrt,merzu primary hospital,tigray,0.8591481447219849,merzu primary hospital woreda:Tsegede Woreda region:tigray zone:Western Zone,merzu primary hospital region:tigray zone:Western ZHD,confirmed
1004305,kafta health center,tigray,zCuPZCIUCmc,kafta humera clinic,tigray,0.8716036677360535,kafta health center woreda:Kafta Humera Woreda region:tigray zone:Western Zone,kafta humera clinic region:tigray zone:Western ZHD,confirmed
1004511,al afiya primary clinic,oromia,FzZNaF7jYoT,al _afiya primary clinic,oromia,0.8624927997589111,al afiya primary clinic woreda:Gechi region:oromia zone:Buno Bedele Zone,al _afiya primary clinic region:oromia zone:Buno Bedele ZHD,confirmed
1004645,milki primary clinic,oromia,xYVDs7C5IXy,milki primary clinic,oromia,0.8018093705177307,milki primary clinic woreda:Wachile Woreda region:oromia zone:East Borena Zone,milki primary clinic region:oromia zone:Bale ZHD,confirmed
1004645,milki primary clinic,oromia,QRAEzmxT3gd,milki primary clinic,oromia,0.8213512301445007,milki primary clinic woreda:Wachile Woreda region:oromia zone:East Borena Zone,milki primary clinic region:oromia zone:West Arsi ZHD,confirmed
1004780,anno health center,oromia,fnotqiM5IxF,anno mikaa'el health center,oromia,0.8155648708343506,anno health center woreda:Seyo region:oromia zone:Kelem Wollega Zone,anno mikaa'el health center region:oromia zone:Kelem Wellega  ZHD,confirmed
1005337,birhanu primary clinic,oromia,oe0kmMyNAFO,birhanu primary clinic,oromia,0.8675316572189331,birhanu primary clinic woreda:Odo Shakiso region:oromia zone:Guji Zone,birhanu primary clinic region:oromia zone:West Guji ZHD,confirmed
1005337,birhanu primary clinic,oromia,WA7HZwNgFNx,birhanu primary clinic,oromia,0.8675316572189331,birhanu primary clinic woreda:Odo Shakiso region:oromia zone:Guji Zone,birhanu primary clinic region:oromia zone:West Guji ZHD,confirmed
1005337,birhanu primary clinic,oromia,ZF2dj2Cg4Uv,birhanu regassa primary clinic,oromia,0.8126829266548157,birhanu primary clinic woreda:Odo Shakiso region:oromia zone:Guji Zone,birhanu regassa primary clinic region:oromia zone:West Shewa  ZHD,confirmed
1005434,beteseb medium clinic,sidama,Vs0bTf3uPTG,beteseb clinic,sidama,0.8147759437561035,beteseb medium clinic woreda:Aleta Wondo Town Administration region:sidama zone:Southern Zone,beteseb clinic region:sidama zone:Aleta Chuko Town WorHO,confirmed
1005565,biniam primary clinic,oromia,atuevpuHDtD,biniam primary clinic,oromia,0.8194331526756287,biniam primary clinic woreda:Siraro region:oromia zone:West Arsi Zone,biniam primary clinic region:oromia zone:Arsi ZHD,confirmed
1005679,boku luboma health center,oromia,knBLqEclZCt,boku luboma rural health post,oromia,0.8425564169883728,boku luboma health center woreda:Miyo region:oromia zone:Borena Zone,boku luboma rural health post region:oromia zone:Borena ZHD,confirmed
1005679,boku luboma health center,oromia,hIfVqq5TzLD,boku luboma phcu,oromia,0.8034883737564087,boku luboma health center woreda:Miyo region:oromia zone:Borena Zone,boku luboma phcu region:oromia zone:Borena ZHD,confirmed
1006091,dangur mekael health post,benishangul gumuz,pQIRS1Ycgw9,dangur health post,benishangul gumuz,0.8543767929077148,dangur mekael health post woreda:Dangur Woreda region:benishangul gumuz zone:Metekel Zone,dangur health post region:benishangul gumuz zone:Metekel ZHD,confirmed
