facility_id,facility_name,facility_type,subtype,owner_type,settlement,is_phcu,status,operational_status,region,zone,woreda,city,kebele,latitude,longitude,altitude,dhis2_id,ethiopian_national_facility_id,catchment_population,number_of_inpatient_beds,number_of_maternity_beds,number_of_emergency_beds,number_of_opd_rooms,number_of_ipd_rooms,number_of_laboratory_rooms,number_of_imaging_rooms,number_of_mch_rooms,number_of_icu_rooms,phone,facility_owners_name,referral_linkage,reports_to,year_opened,created_at_text,_sdc_extracted_at,region_canonical,region_raw,facility_name_amharic_xlat,facility_name_expanded,facility_name_normalized,facility_name_phonetic,region_normalized,zone_normalized,woreda_normalized
1001064,Mamay Drug Shop,Pharmacy,Drug Store,Private for profit,Rural,No,Pending,Operational,tigray,Western Zone,,,Adihirdi,,,,,100315-1,,,,,,,,,,,914493614,,,,,"ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Mamay Drug Shop,Mamay Drug Shop,mamay drug shop,M536,tigray,western zone,
1001146,Sun pair Dental Medium Clinic,Specialty Clinic,Dental Medium Clinic,Private for profit,Urban,No,Approved,Operational,addis ababa,Kirkos Sub City,Woreda 4,,,8.9962534,38.7592016,2331.699951,,100395-3,,0.0,,0.0,1.0,,,,,,911871567,Yemisrach Mulatu Kifle,,Kirkos Sub City,"መስከረም 7,2012","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Sun pair Dental Medium Clinic,Sun pair Dental Medium Clinic,sun pair dental medium clinic,S516,addis ababa,kirkos sub city,woreda 4
1001150,Smart Dental Medium Clinic,Specialty Clinic,Dental Medium Clinic,Private for profit,Urban,No,Approved,Closed,addis ababa,Kirkos Sub City,Woreda 3,,3,8.9859888,38.7606144,2296.4,,100399-5,,1.0,,1.0,1.0,,,,,,118434849,Smart Dental Medium Clinic Private Limited Company,,Kirkos Sub City,"የካቲት 20,2007","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Smart Dental Medium Clinic,Smart Dental Medium Clinic,smart dental medium clinic,S563,addis ababa,kirkos sub city,woreda 3
1001165,Awetu Primary  Hospital,Hospital,Primary Hospital,Private for profit,Urban,No,Approved,Operational,oromia,Jimma Town,Jimma Town,Jimma,Awetu Mandera,7.6690762,36.8364123,1696.5,,100414-2,250000.0,34.0,1.0,4.0,6.0,5.0,3.0,4.0,4.0,,471115774,Mr.Ahmed Abadiko Ababilo,Jimma University Comprhenssive Specialized Hospital,Jimma Town ,"ነሐሴ 26,2014","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Awetu Primary  Hospital,Awetu Primary  Hospital,awetu primary hospital,A316,oromia,jimma town,jimma town
1001185,Qidus Mikael Primary Clinic,Clinic,Primary Clinic,Private for profit,Urban,No,Approved,Operational,oromia,Bishoftu Town,Dukem Woreda,Bishoftu,Melka Dukem,8.7889526,38.9058305,1938.80004882812,,100434-0,,,,,,,,,,,913047188,Tilahun Tekele,Bishoftu General Hospital,Dukem Subcity,"ጥቅምት 17,2011","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Qidus Mikael Primary Clinic,Qidus Mikael Primary Clinic,qidus mikael primary clinic,Q325,oromia,bishoftu town,dukem woreda
1001329,Tesfa Drug Shop,Pharmacy,Drug Store,Private for profit,Rural,No,Pending,Operational,tigray,Western Zone,,,Maykadra,,,,,100580-0,,,,,,,,,,,991682660,,,,,"ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Tesfa Drug Shop,Tesfa Drug Shop,tesfa drug shop,T213,tigray,western zone,
1001391,Woliso Health Center  No 2,Health Center,Health Center,Public/Government,Urban,Yes,Approved,Operational,oromia,Woliso Town,Woliso Town,Woliso ,Burka Gudina,8.5235644,37.971903,2007.43896484375,,100642-8,,3.0,,1.0,5.0,1.0,,,3.0,,914316981,Government ,Woliso General Hospital,Woliso Town,"ነሐሴ 30,2011","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Woliso Health Center  No 2,Woliso Health Center  No 2,woliso health center no 2,W424,oromia,woliso town,woliso town
1001409,Mekonen Drug Shop,Pharmacy,Drug Store,Public/Government,Rural,No,Pending,Operational,tigray,Western Zone,,,Adebay,,,,,100660-0,,,,,,,,,,,914116430,,,,,"ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Mekonen Drug Shop,Mekonen Drug Shop,mekonen drug shop,M255,tigray,western zone,
1001498,Yared Eye Specialty Clinic,Specialty Clinic,Ophthalmology clinic,Private for profit,Rural,No,Approved,Closed,harari,Shenkor,,,10,,,,,100749-1,,,,,,,,,,,454545454,454545454,,Shenkor Woreda ,"ኅዳር 15,2008","ሰኔ 21,2013",2026-05-22 00:13:20,harari,Harari Region,Yared Eye Specialty Clinic,Yared Eye Specialty Clinic,yared eye specialty clinic,Y632,harari,shenkor,
1001508,Yefitahe Clinic,Clinic,Primary Clinic,Public/Government,Rural,No,Approved,Closed,,Halaba Zone,Atoti Ulo Woreda,,,,,,,100759-0,,,,,,,,,,,916522412,Yofitahe,,Halaba Kulito City Administration,"ጥቅምት 26,2012","ሰኔ 21,2013",2026-05-22 00:13:20,,Central Ethiopia Region,Yefitahe Clinic,Yefitahe Clinic,yefitahe clinic,Y132,,halaba zone,atoti ulo woreda
1001554,Yomiyu drug store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,oromia,Nekemte Town,Nekemte Town,Nekemte ,Bekenisa Kese ,9.0949631,36.5446422,2117.59985351562,,100805-1,,,,,,,,,,,917810162,Dugasaa  Mengesha,,,"ግንቦት 3,2002","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Yomiyu drug store,Yomiyu drug store,yomiyu drug store,Y536,oromia,nekemte town,nekemte town
1001617,Bontu Durg story,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Closed,oromia,Nekemte Town,Nekemte Town,Nekemt,Darge Subcity ,8.544674,39.270209,,,100868-9,,,,,,,,,,,917093079,Shifera E By a,,,"ሐምሌ 2,2004","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Bontu Durg story,Bontu Durg story,bontu durg story,B533,oromia,nekemte town,nekemte town
1001805,Permanent Home For People With Disability Primary Clinic,Clinic,Primary Clinic,Other Government,Urban,No,Approved,Closed,addis ababa,Lideta Sub City,,Addis Abeba,10,,,,,101054-5,,,,,,,,,,,913119090,govermmental,,Lideta Sub City,"መጋቢት 4,1994","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Permanent Home For People With Disability Primary Clinic,Permanent Home For People With Disability Primary Clinic,permanent home for people with disability primary clinic,P655,addis ababa,lideta sub city,
1001836,Dr Alia Comprehensive Diagnostic Imaging Service,ImagingCenters,Comprehensive Diagnostic Imaging,Private for profit,Urban,No,Approved,Operational,addis ababa,Lideta Sub City,Woreda 10,Addis Ababa,8,9.0132714,38.7356559,2353.699951,,101086-7,,0.0,,1.0,0.0,,,,,,911433400,Dr Aliya Ahemed,,,"ግንቦት 2,2010","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Dr Alia Comprehensive Diagnostic Imaging Service,Dr Alia Comprehensive Diagnostic Imaging Service,dr alia comprehensive diagnostic imaging service,D642,addis ababa,lideta sub city,woreda 10
1002034,Barkot No 2 Medium Dental  Clinic,Specialty Clinic,Dental clinic,Public/Government,Urban,No,Approved,Closed,addis ababa,Yeka Sub City,,Addis Ababa,2,,,,,101284-8,,,,,,,,,,,909533958,,,Yeka Sub City,"መስከረም 29,2012","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Barkot No 2 Medium Dental  Clinic,Barkot No 2 Medium Dental  Clinic,barkot no 2 medium dental clinic,B623,addis ababa,yeka sub city,
1002110,Betezata  basic Labiratory,Laboratories,Basic,Private for profit,Urban,No,Approved,Operational,addis ababa,Lideta Sub City,Woreda 9,Addis abeba,00,9.0178475,38.754128,2350.299805,,101359-8,,0.0,,0.0,0.0,,,,,,115541515,Betezata P.l.c,,,"መስከረም 7,1994","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Betezata  basic Labiratory,Betezata  basic Labiratory,betezata basic labiratory,B323,addis ababa,lideta sub city,woreda 9
1002111,Betezatha Advanced Diagnostic Laboratory,Laboratories,Advanced Diagnostic,Public/Government,Urban,No,Approved,Operational,addis ababa,Kirkos Sub City,Woreda 8,,,9.0122299,38.7546849,2350.0,,101360-6,,0.0,,0.0,0.0,,,,,,115541515,Betezata Medical Service  P.l.c,,,"ጥቅምት 28,2010","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Betezatha Advanced Diagnostic Laboratory,Betezatha Advanced Diagnostic Laboratory,betezatha advanced diagnostic laboratory,B323,addis ababa,kirkos sub city,woreda 8
1002142,Bilal Medium Clinic,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Operational,addis ababa,Addis Ketema Sub City,,Addis Ababa,4,,,,,101391-1,,,,,,,,,,,911841808,Doctor Meki  Kiyar ,,Addis Ketema Sub City,"ጥቅምት 8,2002","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Bilal Medium Clinic,Bilal Medium Clinic,bilal medium clinic,B445,addis ababa,addis ketema sub city,
1002144,Bilen Specialty Eye Clinic,Specialty Clinic,Ophthalmology clinic,Private for profit,Urban,No,Approved,Operational,sidama,Hawassa City Administration,Tabor Sub City,Hawassa,Tilte,7.0282391,38.4710861,1697.5,,101393-7,,,,,,,,1.0,,,916822805,Doctor Yoseph Worku Gizaw,,Hawassa City Administration,"ኅዳር 4,1999","ሰኔ 21,2013",2026-05-22 00:13:20,sidama,Sidama Region,Bilen Specialty Eye Clinic,Bilen Specialty Eye Clinic,bilen specialty eye clinic,B452,sidama,hawassa city administration,tabor sub city
1002249,3B Dental Specialty Clinic,Specialty Clinic,Dental Speciality Clinic,Private for profit,Urban,No,Approved,Operational,addis ababa,Kirkos Sub City,Woreda 8,,8,8.9933107,38.7589626,2312.599854,,101498-4,,0.0,,0.0,1.0,,,,,,940192939,Doctor Bereket Bogale Beyasin,,Kirkos Sub City,"ነሐሴ 20,2013","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,3B Dental Specialty Clinic,3B Dental Specialty Clinic,3b dental specialty clinic,3135,addis ababa,kirkos sub city,woreda 8
