,,name_exact,name_levenshtein,name_jaro_winkler,name_cosine,region_exact,feature_sum,feature_mean
1,507,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
2,326,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
5,8305,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
5,8465,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
6,5957,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
7,8327,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
7,8707,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
15,301,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
15,399,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
15,435,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
16,301,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
16,399,0,0.0,1.0,1.0,1,3.0,1.0
16,435,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
17,18,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
17,436,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
20,543,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
23,185,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
23,305,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
23,556,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
26,574,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
27,45,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
28,8073,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
28,8271,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
28,8720,0,0.0,1.0,1.0,1,3.0,1.0
30,2808,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
30,2929,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
30,3153,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
30,5186,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
30,5492,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
31,8113,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
31,8115,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
31,8117,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
31,8528,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
31,8778,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
32,8234,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
32,8745,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
34,8702,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
35,3605,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
35,4794,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
35,5117,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
35,5159,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
35,5317,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
35,5613,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
36,8319,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
37,2632,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
37,2713,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
38,8648,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
39,3435,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
40,4938,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
41,3235,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
41,3259,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
41,3260,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
41,3546,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
41,3974,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
41,5219,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
41,5300,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
41,5301,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
41,5323,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
41,5433,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
41,5650,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
41,5838,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
42,3859,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
42,3861,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
42,3942,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
42,4903,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
43,3862,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
43,3871,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
43,4640,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
44,8490,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
45,5295,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
45,5440,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
45,5602,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
45,5777,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
45,5778,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
47,8173,0,0.0,1.0,1.0,1,3.0,1.0
47,8199,0,0.0,1.0,1.0,1,3.0,1.0
47,8437,0,0.0,1.0,1.0,1,3.0,1.0
47,8501,0,0.0,1.0,1.0,1,3.0,1.0
47,8670,0,0.0,1.0,1.0,1,3.0,1.0
47,8758,0,0.0,1.0,1.0,1,3.0,1.0
48,3539,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
48,3863,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
49,8736,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
50,8207,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
50,8213,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
50,8324,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
51,3108,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
51,3303,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
51,3893,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
51,4013,0,1.0,1.0,0.0,1,3.0,1.0
51,5379,0,1.0,1.0,0.0,1,3.0,1.0
