mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b
1001146,sun pair dental medium clinic,addis ababa,Q2QAMRba1vI,seyume primary clinic,addis ababa,0.5743679404258728,sun pair dental medium clinic woreda:Woreda 4 region:addis ababa zone:Kirkos Sub City,seyume primary clinic region:addis ababa zone:Nifas Silk Lafto Sub City
1001150,smart dental medium clinic,addis ababa,Zi1NhNqxR87,smart dental medium clinic,addis ababa,0.8411209583282471,smart dental medium clinic woreda:Woreda 3 region:addis ababa zone:Kirkos Sub City,smart dental medium clinic region:addis ababa zone:Kirkos Sub City
1001329,tesfa drug shop,tigray,JNCXFcczYXE,tsebat health post,tigray,0.7062791585922241,tesfa drug shop region:tigray zone:Western Zone,tsebat health post region:tigray zone:Eastern ZHD
1001329,tesfa drug shop,tigray,ys0qPL0CHqu,tesfa teradio medium clinic,tigray,0.92999267578125,tesfa drug shop region:tigray zone:Western Zone,tesfa teradio medium clinic region:tigray zone:North Western ZHD
1001391,woliso health center no 2,oromia,ncisaE3SMbd,waliso 03 health center,oromia,0.8071585297584534,woliso health center no 2 woreda:Woliso Town region:oromia zone:Woliso Town,waliso 03 health center region:oromia zone:Woliso Town ZHD
1001409,mekonen drug shop,tigray,XybC4KT3dEG,mekonen clinic,tigray,0.8902027606964111,mekonen drug shop region:tigray zone:Western Zone,mekonen clinic region:tigray zone:Eastern ZHD
1001409,mekonen drug shop,tigray,ErO1G54zW0G,mekwanint clinic,tigray,0.8303388953208923,mekonen drug shop region:tigray zone:Western Zone,mekwanint clinic region:tigray zone:Western ZHD
1002110,betezata basic labiratory,addis ababa,xIgG4AGLWQs,betezatha advanced laboratory,addis ababa,0.7197702527046204,betezata basic labiratory woreda:Woreda 9 region:addis ababa zone:Lideta Sub City,betezatha advanced laboratory region:addis ababa zone:Kirkos Sub City
1002110,betezata basic labiratory,addis ababa,sP7JHTHa8PS,betezata labiratory,addis ababa,0.8277950286865234,betezata basic labiratory woreda:Woreda 9 region:addis ababa zone:Lideta Sub City,betezata labiratory region:addis ababa zone:Lideta Sub City
1002110,betezata basic labiratory,addis ababa,QFdWD8OuE3G,bethesaida medium clinic,addis ababa,0.4661533236503601,betezata basic labiratory woreda:Woreda 9 region:addis ababa zone:Lideta Sub City,bethesaida medium clinic region:addis ababa zone:Nifas Silk Lafto Sub City
1002111,betezatha advanced diagnostic laboratory,addis ababa,xIgG4AGLWQs,betezatha advanced laboratory,addis ababa,0.847850501537323,betezatha advanced diagnostic laboratory woreda:Woreda 8 region:addis ababa zone:Kirkos Sub City,betezatha advanced laboratory region:addis ababa zone:Kirkos Sub City
1002111,betezatha advanced diagnostic laboratory,addis ababa,sP7JHTHa8PS,betezata labiratory,addis ababa,0.708693265914917,betezatha advanced diagnostic laboratory woreda:Woreda 8 region:addis ababa zone:Kirkos Sub City,betezata labiratory region:addis ababa zone:Lideta Sub City
