,,name_exact,name_levenshtein,name_jaro_winkler,name_cosine,region_exact,woreda_exact,feature_sum,feature_mean
0,46,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
1,420,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
2,89,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
2,114,0,0.0,1.0,1.0,1,1,4.0,1.1428571428571428
2,304,0,0.0,1.0,1.0,1,1,4.0,1.1428571428571428
2,342,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
2,366,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
3,11,0,0.0,1.0,1.0,1,0,3.0,0.8571428571428571
3,51,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
3,172,0,0.0,1.0,1.0,1,0,3.0,0.8571428571428571
3,291,0,0.0,1.0,1.0,1,0,3.0,0.8571428571428571
3,408,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
4,153,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
4,257,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
4,352,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
4,359,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
4,379,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
5,150,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
5,263,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
5,346,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
5,418,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
6,96,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
6,233,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
7,146,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
7,167,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
7,314,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
8,64,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
8,67,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
8,107,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
8,382,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
9,10,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
9,106,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
9,132,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
9,417,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
10,243,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
11,17,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
11,47,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
11,54,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
11,134,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
11,255,0,0.0,1.0,1.0,1,1,4.0,1.1428571428571428
11,258,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
11,282,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
11,335,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
11,407,0,1.0,1.0,0.0,1,0,3.0,0.8571428571428571
11,409,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
12,18,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
12,20,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
12,88,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
12,90,0,0.0,1.0,1.0,1,0,3.0,0.8571428571428571
12,216,0,0.0,1.0,1.0,1,0,3.0,0.8571428571428571
12,331,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
13,259,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
14,188,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
14,229,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
14,244,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
14,351,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
14,387,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
15,65,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
15,166,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
15,182,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
15,306,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
15,311,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
15,315,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
15,327,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
15,350,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
16,153,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
16,257,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
16,352,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
16,359,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
16,379,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
17,50,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
17,138,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
17,266,0,0.0,1.0,1.0,1,0,3.0,0.8571428571428571
18,57,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
18,112,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
19,79,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
19,102,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
19,239,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
19,298,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
19,333,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
20,89,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
20,114,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
20,304,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
20,342,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
20,366,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
21,39,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
21,129,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
21,184,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
21,206,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
21,279,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
21,370,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
22,49,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
22,55,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
22,68,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
22,297,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
23,146,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
23,167,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
23,314,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
24,137,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
24,173,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
24,245,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
24,280,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
24,363,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
25,25,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
25,52,0,0.0,1.0,1.0,1,0,3.0,0.8571428571428571
25,113,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
25,348,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
26,65,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
26,166,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
26,182,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
26,306,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
26,311,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
26,315,0,0.0,1.0,1.0,1,0,3.0,0.8571428571428571
26,327,0,1.0,1.0,1.0,1,1,5.0,1.4285714285714286
26,350,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
27,39,0,1.0,1.0,0.0,1,0,3.0,0.8571428571428571
27,129,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
27,184,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
27,197,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
27,206,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
27,279,1,1.0,1.0,1.0,1,0,5.0,1.4285714285714286
27,370,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
28,79,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
28,102,0,0.0,1.0,0.0,1,1,3.0,0.8571428571428571
28,239,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
28,298,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
28,333,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
29,97,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
29,163,1,1.0,1.0,1.0,1,1,6.0,1.7142857142857142
29,294,0,1.0,1.0,1.0,1,0,4.0,1.1428571428571428
29,376,0,0.0,1.0,0.0,1,0,2.0,0.5714285714285714
