mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b
MFR_000001,dessie clinic,Oromia,DHIS2_000001,dessie clinic,Oromia,0.9491562843322754,dessie clinic woreda:Bishoftu region:Oromia zone:Zone 3,dessie clinic woreda:Bishoftu region:Oromia zone:Zone 3
MFR_000002,bole clinic,Amhara,DHIS2_000002,bole clinic,Amhara,0.9475122094154358,bole clinic woreda:Bahir Dar region:Amhara zone:Zone 4,bole clinic woreda:Bahir Dar region:Amhara zone:Zone 4
MFR_000003,bahir dar hospital,SNNPR,DHIS2_000279,bahir dar general hospitalital,SNNPR,0.794314444065094,bahir dar hospital woreda:Hosaena region:SNNPR zone:Zone 3,bahir dar general hospitalital woreda:Hosaena region:SNNPR zone:Zone 2
MFR_000003,bahir dar hospital,SNNPR,DHIS2_000465,bahir dar health center,SNNPR,0.7870655059814453,bahir dar hospital woreda:Hosaena region:SNNPR zone:Zone 3,bahir dar health center woreda:Hosaena region:SNNPR zone:Zone 2
MFR_000003,bahir dar hospital,SNNPR,DHIS2_000137,bahir dar health post,SNNPR,0.703049898147583,bahir dar hospital woreda:Hosaena region:SNNPR zone:Zone 3,bahir dar health post woreda:Hosaena region:SNNPR zone:Zone 1
MFR_000003,bahir dar hospital,SNNPR,DHIS2_000485,bahir dar general hospitalital,SNNPR,0.7045992612838745,bahir dar hospital woreda:Hosaena region:SNNPR zone:Zone 3,bahir dar general hospitalital woreda:Arba Minch region:SNNPR zone:Zone 2
MFR_000003,bahir dar hospital,SNNPR,DHIS2_000268,bahir dar dispensary,SNNPR,0.6157910227775574,bahir dar hospital woreda:Hosaena region:SNNPR zone:Zone 3,bahir dar dispensary woreda:Arba Minch region:SNNPR zone:Zone 5
MFR_000004,bahir dar health post,Oromia,DHIS2_000195,bahir dar hospital,Oromia,0.5703157186508179,bahir dar health post woreda:Dukem region:Oromia zone:Zone 5,bahir dar hospital woreda:Dire Dawa region:Oromia zone:Zone 4
MFR_000004,bahir dar health post,Oromia,DHIS2_000183,bahir dar health center,Oromia,0.7483982443809509,bahir dar health post woreda:Dukem region:Oromia zone:Zone 5,bahir dar health center woreda:Adama region:Oromia zone:Zone 5
MFR_000004,bahir dar health post,Oromia,DHIS2_000490,bahir dar hospital,Oromia,0.5348570346832275,bahir dar health post woreda:Dukem region:Oromia zone:Zone 5,bahir dar hospital woreda:Modjo region:Oromia zone:Zone 3
MFR_000004,bahir dar health post,Oromia,DHIS2_000295,bahir dar hospital,Oromia,0.529070258140564,bahir dar health post woreda:Dukem region:Oromia zone:Zone 5,bahir dar hospital woreda:Dire Dawa region:Oromia zone:Zone 1
MFR_000004,bahir dar health post,Oromia,DHIS2_000270,bahir dar health post,Oromia,0.8113199472427368,bahir dar health post woreda:Dukem region:Oromia zone:Zone 5,bahir dar health post woreda:Bishoftu region:Oromia zone:Zone 5
MFR_000005,adama general hospital,Oromia,DHIS2_000017,adama general hospitalital,Oromia,0.782360851764679,adama general hospital woreda:Dire Dawa region:Oromia zone:Zone 1,adama general hospitalital woreda:Bishoftu region:Oromia zone:Zone 1
MFR_000005,adama general hospital,Oromia,DHIS2_000393,adama general hospital,Oromia,0.6922026872634888,adama general hospital woreda:Dire Dawa region:Oromia zone:Zone 1,adama general hospital woreda:Adama region:Oromia zone:Zone 3
MFR_000005,adama general hospital,Oromia,DHIS2_000005,adam general hospital,Oromia,0.9485512375831604,adama general hospital woreda:Dire Dawa region:Oromia zone:Zone 1,adam general hospital woreda:Dire Dawa region:Oromia zone:Zone 1
MFR_000005,adama general hospital,Oromia,DHIS2_000172,adam clinic,Oromia,0.6280176043510437,adama general hospital woreda:Dire Dawa region:Oromia zone:Zone 1,adam clinic woreda:Adama region:Oromia zone:Zone 4
MFR_000005,adama general hospital,Oromia,DHIS2_000136,adam general hospitalital,Oromia,0.6382676959037781,adama general hospital woreda:Dire Dawa region:Oromia zone:Zone 1,adam general hospitalital woreda:Dukem region:Oromia zone:Zone 3
MFR_000006,bole general hospital,Addis Ababa,DHIS2_000006,bole general hospital,Addis Ababa,0.9886166453361511,bole general hospital woreda:Kirkos region:Addis Ababa zone:Zone 1,bole general hospital woreda:Kirkos region:Addis Ababa zone:Zone 1
MFR_000006,bole general hospital,Addis Ababa,DHIS2_000097,bole health center,Addis Ababa,0.8127939105033875,bole general hospital woreda:Kirkos region:Addis Ababa zone:Zone 1,bole health center woreda:Kirkos region:Addis Ababa zone:Zone 3
MFR_000006,bole general hospital,Addis Ababa,DHIS2_000499,bole dispensary,Addis Ababa,0.5935580134391785,bole general hospital woreda:Kirkos region:Addis Ababa zone:Zone 1,bole dispensary woreda:Lideta region:Addis Ababa zone:Zone 4
MFR_000006,bole general hospital,Addis Ababa,DHIS2_000054,bole health center,Addis Ababa,0.6013925075531006,bole general hospital woreda:Kirkos region:Addis Ababa zone:Zone 1,bole health center woreda:Nifas Silk region:Addis Ababa zone:Zone 4
MFR_000007,hawassa referral hospital,Amhara,DHIS2_000087,hawassa referral hospitalital,Amhara,0.6274740695953369,hawassa referral hospital woreda:Mekelle region:Amhara zone:Zone 2,hawassa referral hospitalital woreda:Bahir Dar region:Amhara zone:Zone 5
MFR_000007,hawassa referral hospital,Amhara,DHIS2_000007,hawass referral hospital,Amhara,0.914792537689209,hawassa referral hospital woreda:Mekelle region:Amhara zone:Zone 2,hawass referral hospital woreda:Mekelle region:Amhara zone:Zone 2
MFR_000008,dukem health post,Amhara,DHIS2_000024,dukem health post,Amhara,0.5827016234397888,dukem health post woreda:Dessie region:Amhara zone:Zone 4,dukem health post woreda:Gondar region:Amhara zone:Zone 1
MFR_000008,dukem health post,Amhara,DHIS2_000008,dukem health post,Amhara,0.9441604018211365,dukem health post woreda:Dessie region:Amhara zone:Zone 4,dukem health post woreda:Dessie region:Amhara zone:Zone 4
MFR_000008,dukem health post,Amhara,DHIS2_000128,dukem health center,Amhara,0.9149515628814697,dukem health post woreda:Dessie region:Amhara zone:Zone 4,dukem health center woreda:Dessie region:Amhara zone:Zone 4
MFR_000009,kirkos health center,SNNPR,DHIS2_000080,kirkos health center,SNNPR,0.5447475910186768,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4,kirkos health center woreda:Hosaena region:SNNPR zone:Zone 1
MFR_000009,kirkos health center,SNNPR,DHIS2_000047,kirkos general hospitalital,SNNPR,0.7749665379524231,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4,kirkos general hospitalital woreda:Arba Minch region:SNNPR zone:Zone 2
MFR_000009,kirkos health center,SNNPR,DHIS2_000230,kirkos health center,SNNPR,0.7478888034820557,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4,kirkos health center woreda:Hawassa region:SNNPR zone:Zone 4
MFR_000009,kirkos health center,SNNPR,DHIS2_000009,kirkos health center,SNNPR,0.9616343379020691,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4,kirkos health center woreda:Arba Minch region:SNNPR zone:Zone 4
MFR_000010,dessie health center,Addis Ababa,DHIS2_000010,dessie health center,Addis Ababa,0.9799810647964478,dessie health center woreda:Arada region:Addis Ababa zone:Zone 3,dessie health center woreda:Arada region:Addis Ababa zone:Zone 3
MFR_000010,dessie health center,Addis Ababa,DHIS2_000302,dessie health center,Addis Ababa,0.6981295347213745,dessie health center woreda:Arada region:Addis Ababa zone:Zone 3,dessie health center woreda:Addis Ketema region:Addis Ababa zone:Zone 1
MFR_000010,dessie health center,Addis Ababa,DHIS2_000471,dessi health post,Addis Ababa,0.5240081548690796,dessie health center woreda:Arada region:Addis Ababa zone:Zone 3,dessi health post woreda:Nifas Silk region:Addis Ababa zone:Zone 5
MFR_000010,dessie health center,Addis Ababa,DHIS2_000106,dessie health post,Addis Ababa,0.9526468515396118,dessie health center woreda:Arada region:Addis Ababa zone:Zone 3,dessie health post woreda:Arada region:Addis Ababa zone:Zone 3
MFR_000011,dire dawa health center,Addis Ababa,DHIS2_000011,dire dawa health center,Addis Ababa,0.9882037043571472,dire dawa health center woreda:Nifas Silk region:Addis Ababa zone:Zone 1,dire dawa health center woreda:Nifas Silk region:Addis Ababa zone:Zone 1
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000031,butajir clinic,Addis Ababa,0.6035272479057312,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajir clinic woreda:Addis Ketema region:Addis Ababa zone:Zone 4
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000012,butajira hospitalital,Addis Ababa,0.97307288646698,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajira hospitalital woreda:Lideta region:Addis Ababa zone:Zone 3
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000194,butajira health center,Addis Ababa,0.8289066553115845,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajira health center woreda:Addis Ketema region:Addis Ababa zone:Zone 3
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000141,butajira health center,Addis Ababa,0.6483080983161926,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajira health center woreda:Nifas Silk region:Addis Ababa zone:Zone 4
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000417,butajira general hospitalital,Addis Ababa,0.8079602718353271,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajira general hospitalital woreda:Lideta region:Addis Ababa zone:Zone 2
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000148,butajir health center,Addis Ababa,0.691952109336853,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajir health center woreda:Lideta region:Addis Ababa zone:Zone 5
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000419,butajira health center,Addis Ababa,0.9580325484275818,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajira health center woreda:Lideta region:Addis Ababa zone:Zone 3
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000143,butajir general hospital,Addis Ababa,0.589525580406189,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajir general hospital woreda:Nifas Silk region:Addis Ababa zone:Zone 4
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000351,butajira dispensary,Addis Ababa,0.6215602159500122,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajira dispensary woreda:Nifas Silk region:Addis Ababa zone:Zone 2
MFR_000012,butajira hospital,Addis Ababa,DHIS2_000202,butajira clinic,Addis Ababa,0.6587629318237305,butajira hospital woreda:Lideta region:Addis Ababa zone:Zone 3,butajira clinic woreda:Kirkos region:Addis Ababa zone:Zone 4
